,Health District,all_manufacturer,pfizer_manufacturer,pfizer_vaccines,other_vaccines
0,Alexandria,136950,78858,57.5815991237678,42.4184008762322
1,Alleghany,122105,72041,58.99922198108185,41.00077801891815
2,Arlington,210534,129240,61.38675938328251,38.61324061671749
3,Blue Ridge,201249,122561,60.90017838597955,39.09982161402045
4,Central Shenandoah,187887,102004,54.29007861108006,45.70992138891994
5,Central Virginia,145567,72767,49.98866501336154,50.01133498663846
6,Chesapeake,165240,96030,58.11546840958606,41.88453159041394
7,Chesterfield,291614,191077,65.52394603825606,34.47605396174394
8,Chickahominy,119810,52143,43.52140889742092,56.47859110257908
9,Crater,88313,47477,53.75992209527476,46.24007790472524
10,Cumberland Plateau,54550,20706,37.957836846929425,62.042163153070575
11,Eastern Shore,33324,9300,27.907814187972633,72.09218581202737
12,Fairfax,1019951,764677,74.97193492628568,25.028065073714316
13,Hampton,86948,51279,58.976629709711546,41.023370290288454
14,Henrico,255554,165567,64.78748131510366,35.21251868489634
15,Lenowisco,43822,14207,32.41978914700378,67.58021085299622
16,Lord Fairfax,147535,83484,56.585894872403166,43.414105127596834
17,Loudoun,351033,233338,66.47181319135238,33.52818680864762
18,Mount Rogers,102979,48195,46.80080404742715,53.19919595257285
19,New River,107455,45175,42.040854311106976,57.959145688893024
20,Norfolk,138899,93081,67.01344142146452,32.98655857853548
21,Peninsula,245441,140108,57.08418723848094,42.91581276151906
22,Piedmont,57832,21253,36.74955042191174,63.25044957808826
23,Pittsylvania-Danville,59090,19121,32.35911321712642,67.64088678287358
24,Portsmouth,57097,35119,61.50760985691017,38.49239014308983
25,Prince William,414942,287198,69.21401063281132,30.785989367188677
26,Rappahannock,243077,138190,56.85029846509543,43.14970153490457
27,Rappahannock Rapidan,121706,68611,56.374377598475014,43.625622401524986
28,Richmond,149061,95523,64.08316058526376,35.916839414736245
29,Roanoke,64899,41218,63.51099400607097,36.48900599392903
30,Southside,50317,20370,40.483335651966534,59.516664348033466
31,Three Rivers,94593,47505,50.22041800133202,49.77958199866798
32,Virginia Beach,310801,186891,60.1320459071882,39.8679540928118
33,West Piedmont,75747,28143,37.15394669095806,62.84605330904194
34,Western Tidewater,105056,59117,56.27189308559245,43.72810691440755
