Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
01/14/2022,01/01/2022,Central Region,Unvaccinated,16650,51,13,1973230
01/14/2022,04/10/2021,Southwest Region,Partially Vaccinated,94,16,3,1305740
01/14/2022,11/20/2021,Southwest Region,Partially Vaccinated,146,7,6,761876
01/14/2022,11/27/2021,Eastern Region,Unvaccinated,1225,52,21,2254822
01/14/2022,03/13/2021,Southwest Region,Partially Vaccinated,107,13,3,782207
01/14/2022,06/19/2021,Southwest Region,Partially Vaccinated,9,1,0,528571
01/14/2022,11/06/2021,Central Region,Fully Vaccinated,362,13,4,5396705
01/14/2022,06/12/2021,Central Region,Fully Vaccinated,17,0,0,4309038
01/14/2022,04/03/2021,Northwest Region,Unvaccinated,1399,46,15,5486900
01/14/2022,05/15/2021,Eastern Region,Partially Vaccinated,40,11,1,812753
01/14/2022,04/17/2021,Eastern Region,Fully Vaccinated,44,7,8,2439116
01/14/2022,07/31/2021,Northwest Region,Partially Vaccinated,53,6,0,515097
01/14/2022,10/23/2021,Central Region,Partially Vaccinated,91,2,1,586192
01/14/2022,05/08/2021,Southwest Region,Partially Vaccinated,46,9,2,929542
01/14/2022,02/27/2021,Northwest Region,Unvaccinated,1513,27,4,7175693
01/14/2022,06/19/2021,Northern Region,Partially Vaccinated,18,1,0,528571
01/14/2022,03/06/2021,Northern Region,Partially Vaccinated,90,11,4,672101
01/14/2022,07/31/2021,Central Region,Fully Vaccinated,397,6,7,4735961
01/14/2022,09/11/2021,Northern Region,Fully Vaccinated,1064,26,4,5046958
01/14/2022,12/18/2021,Northern Region,Fully Vaccinated,2951,25,0,5706508
01/14/2022,04/10/2021,Northwest Region,Partially Vaccinated,151,10,5,1305740
01/14/2022,01/30/2021,Eastern Region,Unvaccinated,5767,208,83,7745838
01/14/2022,05/01/2021,Northwest Region,Fully Vaccinated,40,1,0,3105550
01/14/2022,06/05/2021,Central Region,Unvaccinated,197,8,3,3701466
01/14/2022,01/30/2021,Southwest Region,Partially Vaccinated,245,23,19,636178
01/14/2022,07/10/2021,Northern Region,Partially Vaccinated,24,3,0,482709
01/14/2022,05/22/2021,Northern Region,Partially Vaccinated,61,3,0,764707
01/14/2022,02/27/2021,Northern Region,Partially Vaccinated,94,4,3,579900
01/14/2022,04/24/2021,Central Region,Unvaccinated,1149,39,13,4578678
01/14/2022,03/06/2021,Northwest Region,Fully Vaccinated,10,4,0,951871
01/14/2022,05/01/2021,Eastern Region,Unvaccinated,1339,52,13,4363885
01/14/2022,06/19/2021,Southwest Region,Fully Vaccinated,20,2,0,4427962
01/14/2022,01/23/2021,Northwest Region,Partially Vaccinated,158,3,6,447186
01/14/2022,12/18/2021,Northwest Region,Fully Vaccinated,989,28,5,5706508
01/14/2022,11/06/2021,Northwest Region,Fully Vaccinated,537,13,8,5396705
01/14/2022,12/04/2021,Central Region,Fully Vaccinated,541,12,4,5586893
01/14/2022,03/20/2021,Northwest Region,Partially Vaccinated,67,5,1,941023
01/14/2022,03/13/2021,Eastern Region,Unvaccinated,2225,81,52,6631890
01/14/2022,10/09/2021,Southwest Region,Partially Vaccinated,198,12,3,578256
01/14/2022,11/20/2021,Central Region,Unvaccinated,1291,27,16,2310740
01/14/2022,09/25/2021,Central Region,Unvaccinated,3064,57,37,2798392
01/14/2022,09/04/2021,Northern Region,Unvaccinated,1900,47,8,2947842
01/14/2022,04/24/2021,Southwest Region,Partially Vaccinated,103,18,6,1189279
01/14/2022,05/15/2021,Southwest Region,Partially Vaccinated,41,7,0,812753
01/14/2022,10/23/2021,Central Region,Unvaccinated,1237,40,28,2631942
01/14/2022,12/11/2021,Northwest Region,Fully Vaccinated,857,22,6,5662497
01/14/2022,01/23/2021,Eastern Region,Unvaccinated,6799,268,114,7997876
01/14/2022,05/01/2021,Northern Region,Unvaccinated,1054,25,6,4363885
01/14/2022,12/25/2021,Northern Region,Partially Vaccinated,1768,22,0,778511
01/14/2022,08/21/2021,Northwest Region,Fully Vaccinated,607,23,15,4873135
01/14/2022,08/28/2021,Southwest Region,Partially Vaccinated,262,2,1,592894
01/14/2022,11/20/2021,Southwest Region,Unvaccinated,2000,86,38,2310740
01/14/2022,07/10/2021,Southwest Region,Fully Vaccinated,72,11,2,4609556
01/14/2022,10/23/2021,Central Region,Fully Vaccinated,367,11,5,5317385
01/14/2022,10/16/2021,Northern Region,Fully Vaccinated,694,11,3,5282636
01/14/2022,05/01/2021,Northwest Region,Partially Vaccinated,78,5,0,1066084
01/14/2022,12/18/2021,Southwest Region,Unvaccinated,2721,73,19,2073282
01/14/2022,05/15/2021,Eastern Region,Unvaccinated,627,36,11,4090528
01/14/2022,11/06/2021,Eastern Region,Unvaccinated,1007,24,9,2514369
01/14/2022,02/06/2021,Eastern Region,Partially Vaccinated,283,25,10,710872
01/14/2022,07/31/2021,Northwest Region,Fully Vaccinated,284,15,0,4735961
01/14/2022,11/06/2021,Central Region,Partially Vaccinated,78,4,3,624445
01/14/2022,05/01/2021,Eastern Region,Fully Vaccinated,32,4,3,3105550
01/14/2022,08/07/2021,Northern Region,Partially Vaccinated,148,1,0,549765
01/14/2022,11/20/2021,Central Region,Fully Vaccinated,439,12,4,5462903
01/14/2022,06/19/2021,Northern Region,Unvaccinated,177,7,0,3578986
01/14/2022,01/08/2022,Northern Region,Partially Vaccinated,2131,18,0,813550
01/14/2022,05/22/2021,Southwest Region,Fully Vaccinated,53,9,5,3871857
01/14/2022,02/06/2021,Northern Region,Partially Vaccinated,127,11,4,710872
01/14/2022,03/13/2021,Northwest Region,Fully Vaccinated,11,0,0,1121422
01/14/2022,03/20/2021,Northern Region,Fully Vaccinated,28,3,0,1259404
01/14/2022,03/27/2021,Eastern Region,Partially Vaccinated,205,18,3,1155949
01/14/2022,09/25/2021,Southwest Region,Fully Vaccinated,1121,31,22,5157704
01/14/2022,03/27/2021,Southwest Region,Partially Vaccinated,105,17,4,1155949
01/14/2022,12/18/2021,Central Region,Partially Vaccinated,268,1,0,755729
01/14/2022,09/04/2021,Southwest Region,Fully Vaccinated,1097,37,26,4993792
01/14/2022,09/11/2021,Eastern Region,Fully Vaccinated,1157,27,27,5046958
01/14/2022,08/21/2021,Northern Region,Unvaccinated,1793,39,14,3074560
01/14/2022,08/28/2021,Southwest Region,Fully Vaccinated,862,31,9,4933214
01/14/2022,10/16/2021,Southwest Region,Fully Vaccinated,756,21,12,5282636
01/14/2022,06/05/2021,Eastern Region,Partially Vaccinated,15,0,0,685671
01/14/2022,09/11/2021,Northwest Region,Fully Vaccinated,750,29,17,5046958
01/14/2022,07/31/2021,Northern Region,Fully Vaccinated,648,9,2,4735961
01/14/2022,02/06/2021,Central Region,Unvaccinated,3668,111,63,7577823
01/14/2022,06/05/2021,Northwest Region,Partially Vaccinated,13,1,0,685671
01/14/2022,09/18/2021,Eastern Region,Partially Vaccinated,330,7,3,588872
01/14/2022,09/04/2021,Eastern Region,Fully Vaccinated,1122,32,13,4993792
