SUMLEV,POP_2010,POP_2015,POP_2019
50,54571,54727,55390
50,182265,194885,212521
50,27457,26937,25157
50,22915,22521,22550
50,57322,57619,57787
50,10914,10549,10176
50,20947,20356,19888
50,118572,116471,114710
50,34215,34139,33707
50,25989,26017,25805
50,43643,43628,44120
50,13859,13397,12925
50,25833,25123,24063
50,13932,13404,13350
50,14972,14976,14899
50,49948,50681,51853
50,54428,54529,54695
50,13228,12912,12431
50,11539,11254,10724
50,37765,37814,37062
50,13906,13847,13858
50,80406,80690,82867
50,50251,49771,49342
50,43820,41976,39238
50,71109,70912,71437
50,79303,80536,81422
50,38319,37765,36993
50,104430,103884,103007
50,17241,16824,16466
50,31704,31553,31542
50,26790,26677,26385
50,9045,8748,8310
50,15760,15246,14801
50,17302,17129,17115
50,101547,103643,104378
50,53227,52957,51828
50,658466,659265,659599
50,14564,14212,13882
50,92709,92701,92564
50,34339,33575,33063
50,140247,151809,161440
50,82782,88916,94130
50,11299,10661,10097
50,21452,20021,18793
50,334811,346625,361762
50,21027,20119,19396
50,30776,30224,29792
50,93019,94356,95572
50,412992,413918,414045
50,23068,22170,21290
50,229363,228190,227265
50,119490,119571,118918
50,10591,9999,9302
50,19746,19300,20204
50,32899,33715,33349
50,22913,22547,22687
50,52947,59149,56985
50,83593,85810,87926
50,195085,204039,213633
50,13763,13394,12749
50,82291,81578,80142
50,41616,41028,40613
50,194656,201084,207618
50,67023,65777,63895
50,17581,16897,16522
50,11670,11145,10691
50,24484,24189,23760
50,3141,3343,3455
50,5561,5777,5729
50,291826,301142,294338
50,17013,17852,18090
50,997,951,869
50,1826,1943,2084
50,4847,4978,4940
50,97581,100933,99675
50,2508,2558,2524
50,2150,2116,2139
50,31275,32594,32098
50,55400,57014,58558
50,13477,13722,13834
50,13592,14093,13512
50,7459,7974,8236
50,1631,1667,1612
50,88995,95880,106232
50,9492,9852,10025
50,9430,9792,9795
50,7523,7725,7795
50,3815,3291,3264
50,5559,6446,6444
50,8881,8973,8641
50,968,1026,1167
50,7029,6986,6892
50,9636,9781,9220
50,2369,2448,2521
50,662,651,602
50,5588,5560,5409
50,71518,72322,71545
50,131346,129578,124864
50,134421,136699,141001
50,53597,53005,53578
50,37220,37433,37481
50,8437,8916,9443
50,20489,20522,20706
50,3817117,4017723,4327184
50,200186,203126,207017
50,107449,107135,109079
50,980263,997127,1026391
50,375770,385398,431564
50,47420,46939,46566
50,211033,214421,228082
50,195751,202420,209507
50,19019,18755,17872
50,21853,21278,20311
50,41513,40983,41308
50,221339,239461,266585
50,36903,37328,37459
50,11508,11120,10813
50,5368,5192,5201
50,27446,27791,27865
50,11800,11362,10647
50,22995,22582,22184
50,16083,15484,14865
50,25970,25625,25059
50,8689,8515,8162
50,24552,24284,23695
50,21273,21088,20810
50,96443,101653,107188
50,61948,61667,62894
50,50902,49739,48716
50,17870,17521,16792
50,8116,7892,7307
50,13008,12502,11743
50,18509,18686,18370
50,113237,119176,123530
50,18125,17915,17809
50,12245,12170,12131
50,96024,97654,98327
50,17853,18046,18103
50,42090,43160,44993
50,22609,22420,21876
50,32923,33528,33606
50,13789,13543,13365
50,36647,36885,37391
50,13696,13411,13666
50,17997,17729,17017
50,77435,73191,69238
50,25540,25932,26401
50,7645,7284,6797
50,17415,17054,16571
50,10424,10010,9127
50,14134,14063,13475
50,13171,12733,12373
50,22353,22031,21739
50,68356,70742,72778
